Generation,Father,Years From Creation,All Years Lived
Adam,First Man,0,930
Seth,Adam,130,912
Enosh,Seth,235,905
Kenan,Enosh,325,910
Mahalel,Kenan,395,895
Jared,Mahalalel,460,962
Enoch,Jared,622,265
Methuselah,Enoch,687,969
Lamech,Methuselah,874,777
Noah,Lamech,1056,950
Shem,Noah,1558,600
Arphaxad,Shem,1658,438
Shelah,Arphaxad,1693,433
Eber,Shelah,1723,464
Peleg,Eber,1757,239
Reu,Peleg,1787,239
Serug,Reu,1819,230
Nahor,Serug,1849,148
Terah,Nahor,1878,205
Abraham,Terah,1948,175
